date,hitVal,otherInfo
4/6,False,n/a
4/7,True,n/a
4/8,True,n/a
4/10,True,n/a
4/11,True,n/a
4/12,True,n/a
4/14,True,n/a
4/15,False,n/a
4/16,True,n/a
4/17,True,n/a
4/18,False,n/a
4/19,False,n/a
4/21,True,n/a
4/22,True,n/a
4/23,True,n/a
4/24,False,n/a
4/25,True,n/a
4/28,True,n/a
4/29,False,n/a
4/30,True,n/a
5/1,False,n/a
5/2,False,n/a
5/4,True,n/a
5/5,True,n/a
5/6,False,n/a
5/7,True,n/a
5/8,False,n/a
5/9,False,n/a
5/10,False,n/a
5/12,False,n/a
5/13,True,n/a
5/14,True,n/a
5/15,True,n/a
5/16,True,n/a
5/17,True,n/a
5/18,True,n/a
5/19,True,n/a
5/20,True,n/a
5/21,True,n/a
5/22,True,n/a
5/23,True,n/a
5/24,True,n/a
5/25,True,n/a
5/26,True,n/a
5/27,True,n/a
5/29,False,n/a
5/30,True,n/a
5/31,True,n/a
6/2,True,n/a
6/3,True,n/a
6/4,True,n/a
6/5,False,n/a
6/6,True,n/a
6/7,True,n/a
6/9,True,n/a
6/10,True,n/a
6/11,True,n/a
6/12,True,n/a
6/13,True,n/a
6/14,True,n/a
6/15,True,n/a
6/16,False,n/a
6/17,True,n/a
6/19,True,n/a
6/20,True,n/a
6/21,True,n/a
6/22,False,n/a
6/23,True,n/a
6/24,True,n/a
6/26,False,n/a
6/27,False,n/a
6/28,True,n/a
6/29,False,n/a
6/30,False,n/a
7/1,True,n/a
7/2,True,n/a
7/3,False,n/a
7/4,True,n/a
7/5,False,n/a
7/6,False,n/a
7/7,True,n/a
7/8,True,n/a
7/10,True,n/a
7/11,False,n/a
7/12,True,n/a
7/16,True,n/a
7/17,True,n/a
7/18,True,n/a
7/19,False,n/a
7/21,False,n/a
7/22,True,n/a
7/23,True,n/a
7/24,False,n/a
7/25,True,n/a
7/26,False,n/a
7/27,True,n/a
7/28,True,n/a
7/29,True,n/a
7/31,True,n/a
8/1,True,n/a
8/2,True,n/a
8/4,False,n/a
8/5,False,n/a
8/6,False,n/a
8/7,False,n/a
8/8,False,n/a
8/10,True,n/a
8/11,True,n/a
8/12,True,n/a
8/14,True,n/a
8/15,True,n/a
8/16,True,n/a
8/17,False,n/a
8/18,False,n/a
8/19,False,n/a
8/20,False,n/a
8/21,True,n/a
8/22,True,n/a
8/23,True,n/a
8/24,True,n/a
8/25,True,n/a
8/26,True,n/a
8/27,False,n/a
8/28,True,n/a
8/29,True,n/a
8/30,True,n/a
8/31,True,n/a
9/1,False,n/a
9/2,True,n/a
9/4,False,n/a
9/5,False,n/a
9/6,False,n/a
9/7,True,n/a
9/8,False,n/a
9/9,True,n/a
9/10,True,n/a
9/11,False,n/a
9/12,True,n/a
9/14,False,n/a
9/15,False,n/a
9/16,True,n/a
9/17,True,n/a
9/18,False,n/a
9/19,False,n/a
9/20,True,n/a
9/21,True,n/a
9/22,True,n/a
9/23,True,n/a
9/25,True,n/a
9/26,True,n/a
9/27,False,n/a
9/28,False,n/a
9/29,False,n/a
9/30,True,n/a
10/2,True,n/a
10/3,False,n/a
10/4,True,n/a
