date,hitVal,otherInfo
4/5,True,n/a
4/6,True,n/a
4/9,True,n/a
4/10,False,n/a
4/13,True,n/a
4/14,True,n/a
4/16,True,n/a
4/17,True,n/a
4/18,False,n/a
4/19,True,n/a
4/20,True,n/a
4/22,False,n/a
4/24,True,n/a
4/25,False,n/a
4/26,False,n/a
4/27,True,n/a
4/28,True,n/a
4/30,False,n/a
5/1,True,n/a
5/3,True,n/a
5/4,True,n/a
5/5,True,n/a
5/7,False,n/a
5/8,True,n/a
5/9,False,n/a
5/12,False,n/a
5/13,True,n/a
5/15,False,n/a
5/16,True,n/a
5/17,True,n/a
5/18,True,n/a
5/19,True,n/a
5/20,True,n/a
5/21,False,n/a
5/22,True,n/a
5/23,False,n/a
5/25,True,n/a
5/26,False,n/a
5/28,False,n/a
5/29,False,n/a
5/31,True,n/a
6/1,True,n/a
6/2,False,n/a
6/4,False,n/a
6/6,True,n/a
6/7,False,n/a
6/8,False,n/a
6/10,True,n/a
6/11,False,n/a
6/12,True,n/a
6/13,True,n/a
6/15,True,n/a
6/16,False,n/a
6/17,True,n/a
6/18,False,n/a
6/19,True,n/a
6/22,True,n/a
6/23,True,n/a
6/24,True,n/a
6/25,True,n/a
6/27,False,n/a
6/30,True,n/a
7/1,True,n/a
7/4,False,n/a
8/3,True,n/a
8/4,True,n/a
8/6,True,n/a
8/7,True,n/a
8/10,False,n/a
8/11,True,n/a
8/13,True,n/a
8/14,True,n/a
8/17,False,n/a
8/18,False,n/a
8/19,False,n/a
8/20,True,n/a
8/21,True,n/a
8/23,True,n/a
8/24,False,n/a
8/25,True,n/a
8/27,True,n/a
8/28,True,n/a
8/29,True,n/a
8/30,True,n/a
9/1,False,n/a
9/2,False,n/a
9/4,True,n/a
9/6,False,n/a
9/7,False,n/a
9/8,False,n/a
9/10,True,n/a
9/12,False,n/a
9/13,True,n/a
9/14,True,n/a
9/17,True,n/a
9/18,False,n/a
9/21,False,n/a
9/22,True,n/a
9/24,False,n/a
9/25,False,n/a
9/27,True,n/a
9/28,True,n/a
9/29,True,n/a
9/30,False,n/a
10/1,False,n/a
10/2,True,n/a
