date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/7,False,n/a,inf
4/8,True,n/a,inf
4/9,False,n/a,inf
4/10,True,n/a,9.66
4/11,True,n/a,inf
4/12,True,n/a,0.0
4/13,True,n/a,3.0
4/14,True,n/a,3.6
4/16,True,n/a,3.86
4/17,True,n/a,5.03
4/18,True,n/a,1.38
4/19,True,n/a,12.0
4/20,True,n/a,1.35
4/21,True,n/a,4.05
4/23,False,n/a,4.96
4/24,True,n/a,6.06
4/25,True,n/a,2.45
4/26,True,n/a,2.15
4/27,False,n/a,5.14
4/28,False,n/a,4.63
4/29,False,n/a,2.17
4/30,True,n/a,3.27
5/1,False,n/a,2.2
5/2,True,n/a,3.68
5/3,False,n/a,7.85
5/4,True,n/a,6.49
5/5,True,n/a,5.87
5/6,True,n/a,4.97
5/7,False,n/a,1.65
5/9,False,n/a,5.46
5/11,False,n/a,5.75
5/12,False,n/a,3.86
5/13,False,n/a,4.6
5/14,True,n/a,4.96
5/15,False,n/a,5.57
5/16,True,n/a,6.92
5/17,True,n/a,5.77
5/18,True,n/a,3.69
5/19,False,n/a,5.92
5/20,True,n/a,3.23
5/21,True,n/a,7.72
5/22,True,n/a,1.29
5/23,True,n/a,5.13
5/25,False,n/a,4.74
5/26,False,n/a,5.9
5/27,False,n/a,5.77
5/28,True,n/a,4.44
5/29,False,n/a,3.07
5/30,False,n/a,3.15
5/31,True,n/a,3.65
6/1,True,n/a,4.95
6/2,False,n/a,6.34
6/3,False,n/a,3.02
6/4,True,n/a,6.42
6/5,True,n/a,3.75
6/6,True,n/a,3.72
6/8,True,n/a,3.84
6/9,True,n/a,4.11
6/10,True,n/a,4.52
6/11,True,n/a,4.65
6/12,True,n/a,4.25
6/13,True,n/a,3.12
6/15,True,n/a,3.82
6/16,True,n/a,3.16
6/17,True,n/a,3.18
6/18,True,n/a,4.81
6/19,True,n/a,3.23
6/20,True,n/a,4.42
6/21,True,n/a,2.94
6/22,True,n/a,4.78
6/23,True,n/a,1.86
6/25,True,n/a,5.41
6/26,True,n/a,5.63
6/27,True,n/a,1.79
6/28,False,n/a,4.6
6/29,True,n/a,4.8
6/30,True,n/a,4.71
7/2,False,n/a,4.89
7/3,True,n/a,3.92
7/4,False,n/a,4.23
7/5,True,n/a,3.03
7/6,False,n/a,5.92
7/10,True,n/a,4.43
7/11,True,n/a,inf
7/16,False,n/a,3.79
7/17,False,n/a,2.94
7/18,True,n/a,3.81
7/19,True,n/a,3.97
7/20,True,n/a,6.54
7/21,True,n/a,5.41
7/22,True,n/a,3.13
7/23,False,n/a,5.06
7/24,True,n/a,2.88
7/25,False,n/a,3.99
7/26,False,n/a,3.54
7/27,True,n/a,3.26
7/28,True,n/a,1.69
7/29,False,n/a,5.22
7/30,True,n/a,5.4
7/31,False,n/a,6.96
8/1,False,n/a,5.96
8/2,False,n/a,2.93
8/3,False,n/a,4.04
8/4,False,n/a,3.25
8/15,True,n/a,3.51
8/17,True,n/a,2.84
8/18,True,n/a,5.69
8/19,True,n/a,3.33
8/20,True,n/a,3.32
8/21,True,n/a,2.95
8/22,False,n/a,2.58
8/23,True,n/a,4.98
8/25,True,n/a,4.52
8/27,True,n/a,2.73
8/28,False,n/a,1.72
8/29,True,n/a,5.09
8/31,False,n/a,5.66
9/1,True,n/a,2.71
9/3,False,n/a,3.73
9/4,False,n/a,3.49
9/5,True,n/a,3.39
9/7,True,n/a,2.45
9/8,True,n/a,1.99
9/9,False,n/a,3.31
9/10,False,n/a,3.43
9/11,True,n/a,1.72
9/12,False,n/a,2.21
9/16,True,n/a,3.48
9/17,True,n/a,4.53
9/18,True,n/a,3.64
9/19,True,n/a,5.05
9/21,False,n/a,3.75
9/22,True,n/a,4.46
9/23,True,n/a,3.5
9/24,True,n/a,3.3
9/25,False,n/a,4.56
9/26,False,n/a,4.22
9/28,False,n/a,5.04
9/29,False,n/a,3.76
9/30,True,n/a,3.73
10/1,False,n/a,3.71
10/3,False,n/a,2.92
