date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/6,True,n/a,inf
4/7,True,n/a,inf
4/9,False,n/a,inf
4/10,False,n/a,7.5
4/11,True,n/a,inf
4/12,True,n/a,inf
4/13,False,n/a,6.0
4/14,True,n/a,21.62
4/16,True,n/a,11.43
4/17,True,n/a,3.86
4/18,True,n/a,4.5
4/19,True,n/a,4.38
4/20,True,n/a,5.91
4/21,False,n/a,3.6
4/23,False,n/a,0.69
4/24,False,n/a,1.5
4/26,True,n/a,0.82
4/27,True,n/a,5.0
4/28,False,n/a,5.11
4/30,True,n/a,5.02
5/1,True,n/a,2.25
5/2,True,n/a,0.0
5/4,True,n/a,4.32
5/5,True,n/a,5.18
5/6,True,n/a,4.01
5/7,True,n/a,2.4
5/8,True,n/a,4.5
5/11,True,n/a,1.16
5/12,True,n/a,3.34
5/13,False,n/a,4.2
5/14,True,n/a,4.67
5/15,True,n/a,2.63
5/16,False,n/a,3.52
5/17,True,n/a,3.22
5/18,True,n/a,3.32
5/20,True,n/a,3.81
5/21,True,n/a,4.37
5/22,False,n/a,4.05
5/23,False,n/a,5.66
5/25,False,n/a,1.62
5/26,False,n/a,5.06
5/27,True,n/a,5.96
5/28,True,n/a,6.28
5/29,True,n/a,9.0
5/30,True,n/a,3.41
5/31,False,n/a,0.88
6/1,True,n/a,6.93
6/2,True,n/a,2.89
6/4,True,n/a,5.09
6/5,False,n/a,3.9
6/6,True,n/a,4.26
6/7,True,n/a,4.09
6/8,False,n/a,3.97
6/9,True,n/a,5.43
6/10,True,n/a,2.22
6/12,True,n/a,4.97
6/13,True,n/a,4.91
6/14,False,n/a,5.54
6/15,False,n/a,4.5
6/16,True,n/a,3.83
6/18,True,n/a,5.14
6/19,False,n/a,27.04
6/20,True,n/a,3.31
6/22,True,n/a,3.12
6/23,False,n/a,3.34
6/24,True,n/a,6.09
6/25,False,n/a,5.33
6/26,True,n/a,2.47
6/27,False,n/a,3.03
6/28,True,n/a,4.34
6/29,False,n/a,3.86
6/30,False,n/a,5.83
7/1,True,n/a,4.69
7/2,True,n/a,3.51
7/3,True,n/a,1.83
7/4,True,n/a,4.33
7/5,True,n/a,4.43
7/7,True,n/a,5.29
7/8,True,n/a,4.46
7/9,False,n/a,2.45
7/10,True,n/a,5.73
7/11,True,n/a,3.12
7/15,True,n/a,2.77
7/16,True,n/a,3.61
7/17,True,n/a,4.16
7/18,True,n/a,2.98
7/19,True,n/a,inf
7/21,True,n/a,4.61
7/22,True,n/a,4.62
7/23,True,n/a,4.96
7/24,True,n/a,4.02
7/25,True,n/a,2.66
7/26,False,n/a,4.5
7/27,True,n/a,1.61
7/28,True,n/a,2.11
7/29,False,n/a,3.59
7/30,True,n/a,3.3
7/31,False,n/a,4.0
8/1,True,n/a,2.96
8/3,True,n/a,5.08
8/4,True,n/a,2.67
8/5,True,n/a,4.62
8/6,False,n/a,3.83
8/7,False,n/a,2.36
8/8,False,n/a,4.45
8/9,True,n/a,5.62
8/10,False,n/a,3.76
8/11,True,n/a,3.51
8/12,False,n/a,4.37
8/13,True,n/a,3.83
8/14,True,n/a,2.36
8/15,False,n/a,3.51
8/17,False,n/a,2.84
8/18,True,n/a,5.69
8/20,True,n/a,3.32
8/21,True,n/a,2.95
8/23,True,n/a,4.98
8/24,True,n/a,2.41
8/25,True,n/a,4.52
8/27,False,n/a,2.73
8/28,False,n/a,1.72
8/29,True,n/a,5.09
8/30,False,n/a,4.54
8/31,False,n/a,5.66
9/1,False,n/a,2.71
9/3,True,n/a,3.73
9/4,False,n/a,3.49
9/5,True,n/a,3.39
9/6,True,n/a,4.2
9/7,True,n/a,2.45
9/8,True,n/a,1.99
9/9,True,n/a,3.31
9/10,False,n/a,3.43
9/11,True,n/a,1.72
9/12,True,n/a,2.21
9/14,False,n/a,3.0
9/15,True,n/a,3.65
9/16,True,n/a,3.48
9/17,False,n/a,4.53
9/18,False,n/a,3.64
9/19,True,n/a,5.05
9/21,False,n/a,3.75
9/22,True,n/a,4.46
9/23,False,n/a,3.5
9/24,False,n/a,3.3
9/25,True,n/a,4.56
9/26,True,n/a,4.22
9/28,False,n/a,5.04
9/29,True,n/a,3.76
9/30,False,n/a,3.73
10/1,True,n/a,3.71
10/2,False,n/a,1.89
10/3,True,n/a,2.92
