date,hitVal,otherInfo,opPitcherEra
4/5,False,n/a,inf
4/7,False,n/a,inf
4/8,True,n/a,inf
4/9,False,n/a,inf
4/10,True,n/a,inf
4/11,True,n/a,3.6
4/12,True,n/a,5.4
4/13,True,n/a,3.0
4/14,False,n/a,1.5
5/18,True,n/a,3.3
5/19,False,n/a,1.72
5/20,False,n/a,2.94
5/21,True,n/a,4.83
5/22,True,n/a,6.33
5/23,True,n/a,3.6
5/24,False,n/a,4.42
5/25,False,n/a,3.75
5/26,True,n/a,5.0
5/28,False,n/a,3.71
5/29,False,n/a,inf
5/30,False,n/a,3.64
5/31,True,n/a,2.97
6/1,False,n/a,2.37
6/2,False,n/a,2.57
6/4,True,n/a,3.26
6/5,True,n/a,2.48
6/8,False,n/a,2.79
6/9,False,n/a,2.29
6/10,False,n/a,5.04
6/12,True,n/a,5.23
6/13,False,n/a,3.45
6/14,True,n/a,2.81
6/15,False,n/a,3.24
6/16,False,n/a,4.99
6/18,True,n/a,3.1
6/19,True,n/a,2.05
6/20,False,n/a,2.78
7/3,False,n/a,2.72
7/4,True,n/a,3.58
7/6,True,n/a,3.3
7/7,True,n/a,4.57
7/8,True,n/a,4.72
7/9,False,n/a,2.76
7/10,True,n/a,4.4
7/11,True,n/a,4.71
7/16,False,n/a,6.41
7/17,True,n/a,4.77
7/18,True,n/a,4.78
7/19,True,n/a,5.57
7/20,True,n/a,7.56
7/21,True,n/a,3.67
7/22,True,n/a,3.86
7/24,True,n/a,5.63
7/25,True,n/a,4.5
7/26,True,n/a,6.51
7/27,False,n/a,5.84
7/28,True,n/a,4.47
7/30,True,n/a,5.19
7/31,False,n/a,1.29
8/2,True,n/a,4.57
8/3,True,n/a,3.24
8/4,True,n/a,4.07
8/6,True,n/a,4.11
8/7,True,n/a,4.54
8/8,False,n/a,4.23
8/10,False,n/a,3.96
8/11,False,n/a,2.66
8/12,True,n/a,4.6
8/13,True,n/a,6.57
8/15,True,n/a,3.0
8/16,True,n/a,2.88
8/17,True,n/a,3.56
8/18,False,n/a,3.49
8/23,False,n/a,0.0
8/24,True,n/a,4.77
8/25,True,n/a,3.9
8/26,True,n/a,3.73
8/27,False,n/a,3.65
8/28,True,n/a,5.79
9/13,True,n/a,4.71
9/14,False,n/a,4.96
9/17,True,n/a,4.45
9/19,False,n/a,3.17
9/21,True,n/a,4.02
9/22,False,n/a,4.15
9/23,False,n/a,2.35
9/24,False,n/a,6.42
9/25,True,n/a,3.92
9/26,False,n/a,inf
9/27,False,n/a,5.09
9/28,False,n/a,3.26
9/30,True,n/a,3.48
10/1,True,n/a,3.83
10/2,True,n/a,2.44
10/3,True,n/a,5.55
