date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/7,True,n/a,inf
4/8,True,n/a,inf
4/9,True,n/a,inf
4/10,False,n/a,14.55
4/11,True,n/a,inf
4/12,False,n/a,3.0
4/13,False,n/a,1.13
4/17,False,n/a,7.5
4/18,False,n/a,5.07
4/20,True,n/a,3.46
4/21,False,n/a,3.52
4/22,False,n/a,7.36
4/24,False,n/a,7.54
4/25,True,n/a,4.0
4/26,True,n/a,3.57
4/27,True,n/a,2.86
4/28,True,n/a,3.13
4/30,True,n/a,6.14
5/1,False,n/a,6.75
5/4,False,n/a,1.27
5/6,True,n/a,2.84
5/7,True,n/a,6.75
5/9,True,n/a,0.99
5/10,True,n/a,5.29
5/11,True,n/a,4.86
5/12,True,n/a,3.5
5/13,True,n/a,4.54
5/14,True,n/a,4.5
5/15,False,n/a,5.45
5/17,True,n/a,7.44
5/18,True,n/a,inf
5/19,True,n/a,1.42
5/20,True,n/a,2.48
5/21,False,n/a,5.26
5/22,False,n/a,7.0
5/23,False,n/a,4.5
5/25,True,n/a,4.99
5/26,True,n/a,4.18
5/27,True,n/a,2.09
5/28,True,n/a,5.66
5/29,False,n/a,2.22
5/30,True,n/a,4.55
5/31,True,n/a,5.53
6/1,True,n/a,5.05
6/2,True,n/a,2.78
6/3,True,n/a,inf
6/4,True,n/a,2.84
6/5,True,n/a,4.79
6/6,True,n/a,3.22
6/8,True,n/a,4.62
6/10,True,n/a,2.03
6/11,True,n/a,3.64
6/12,True,n/a,3.31
6/13,False,n/a,2.48
6/15,False,n/a,3.52
6/16,True,n/a,1.8
6/17,True,n/a,4.61
6/18,True,n/a,3.5
6/19,True,n/a,2.83
6/20,False,n/a,2.31
6/22,True,n/a,3.97
6/23,True,n/a,4.67
6/24,True,n/a,5.12
6/25,False,n/a,2.93
6/26,True,n/a,3.26
6/27,True,n/a,2.93
6/28,True,n/a,2.33
6/29,True,n/a,3.78
6/30,True,n/a,2.71
7/2,True,n/a,3.15
7/3,True,n/a,4.5
7/4,True,n/a,2.37
7/5,True,n/a,3.62
7/6,False,n/a,5.05
7/7,False,n/a,3.78
7/8,False,n/a,4.43
7/9,True,n/a,4.38
7/10,False,n/a,4.16
7/11,False,n/a,3.38
7/16,False,n/a,2.32
7/17,False,n/a,3.37
7/21,True,n/a,4.07
7/22,True,n/a,6.16
7/23,True,n/a,4.39
7/24,True,n/a,3.32
7/25,True,n/a,4.25
