date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/6,True,n/a,inf
4/7,False,n/a,inf
4/9,True,n/a,inf
4/10,True,n/a,inf
4/11,True,n/a,4.5
4/13,True,n/a,7.2
4/14,True,n/a,4.5
4/15,False,n/a,3.0
4/16,False,n/a,4.5
4/17,True,n/a,3.0
4/18,True,n/a,8.64
4/19,True,n/a,15.64
4/20,True,n/a,6.36
4/22,True,n/a,0.0
4/24,True,n/a,3.74
4/25,False,n/a,3.79
4/26,True,n/a,5.19
4/27,True,n/a,3.81
4/28,False,n/a,3.0
5/1,False,n/a,3.8
5/3,True,n/a,3.86
5/4,False,n/a,0.52
5/7,False,n/a,2.08
5/8,True,n/a,6.56
5/9,True,n/a,4.99
5/10,True,n/a,5.87
5/12,True,n/a,1.45
5/13,True,n/a,6.34
5/15,True,n/a,1.04
5/16,False,n/a,3.51
5/17,False,n/a,4.57
5/18,True,n/a,3.4
5/20,False,n/a,2.62
5/21,True,n/a,5.09
5/22,True,n/a,4.93
5/23,True,n/a,2.72
5/25,True,n/a,3.24
5/26,True,n/a,4.42
5/27,False,n/a,4.79
5/28,False,n/a,1.9
5/29,True,n/a,3.03
5/30,True,n/a,2.9
5/31,True,n/a,3.0
6/2,False,n/a,2.5
6/4,True,n/a,3.38
6/6,True,n/a,4.31
6/9,True,n/a,4.01
6/10,False,n/a,3.22
6/12,False,n/a,5.49
6/13,True,n/a,inf
6/15,False,n/a,3.92
6/18,True,n/a,4.04
6/19,False,n/a,2.66
6/20,False,n/a,5.08
6/23,True,n/a,4.54
6/24,True,n/a,4.59
6/25,True,n/a,3.01
6/26,False,n/a,5.07
6/27,True,n/a,3.91
6/28,True,n/a,5.14
6/29,False,n/a,3.16
7/2,True,n/a,3.13
7/3,True,n/a,3.43
7/6,True,n/a,5.03
7/8,False,n/a,3.16
7/9,True,n/a,5.05
7/11,False,n/a,3.0
7/16,False,n/a,4.04
7/17,False,n/a,inf
7/19,True,n/a,3.66
7/20,True,n/a,5.1
7/21,True,n/a,4.66
7/22,True,n/a,1.62
7/23,True,n/a,2.4
7/24,True,n/a,4.82
7/25,True,n/a,0.0
7/26,False,n/a,6.03
7/28,False,n/a,4.39
7/29,False,n/a,4.13
7/30,True,n/a,3.71
8/1,True,n/a,3.76
8/5,True,n/a,inf
8/7,True,n/a,4.42
8/8,True,n/a,4.59
8/10,True,n/a,4.17
8/12,True,n/a,3.06
8/13,True,n/a,2.86
8/14,True,n/a,5.62
8/15,True,n/a,5.46
8/18,True,n/a,3.53
8/20,False,n/a,4.38
8/21,True,n/a,2.91
8/22,True,n/a,2.12
8/23,True,n/a,2.15
8/24,True,n/a,4.33
8/25,False,n/a,3.92
9/29,False,n/a,4.09
9/30,True,n/a,3.31
10/2,False,n/a,7.09
10/3,False,n/a,4.53
