date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/7,False,n/a,inf
4/9,True,n/a,inf
4/10,True,n/a,7.2
4/13,True,n/a,5.4
4/14,True,n/a,1.5
4/15,True,n/a,3.95
4/16,True,n/a,5.69
4/18,False,n/a,2.25
4/20,True,n/a,6.97
4/21,True,n/a,7.88
4/22,False,n/a,2.64
4/24,True,n/a,8.16
4/25,True,n/a,11.75
4/27,False,n/a,2.59
4/28,True,n/a,8.64
4/29,False,n/a,9.32
4/30,False,n/a,16.2
5/1,False,n/a,6.11
5/4,True,n/a,6.6
5/5,True,n/a,8.87
5/6,False,n/a,4.6
5/7,True,n/a,5.63
5/8,False,n/a,0.0
5/9,False,n/a,0.87
5/10,True,n/a,4.14
5/11,True,n/a,4.04
5/12,False,n/a,7.32
5/14,False,n/a,1.71
5/15,False,n/a,3.97
5/17,True,n/a,4.81
5/18,True,n/a,6.03
5/19,True,n/a,1.88
5/20,True,n/a,4.35
5/21,False,n/a,4.68
5/22,True,n/a,1.59
5/23,False,n/a,5.93
5/25,True,n/a,3.74
5/26,True,n/a,3.09
5/27,True,n/a,4.3
5/28,True,n/a,0.68
5/29,True,n/a,5.4
5/30,True,n/a,3.09
5/31,True,n/a,4.57
6/1,True,n/a,5.35
6/8,False,n/a,2.76
6/9,False,n/a,2.05
6/11,False,n/a,5.23
6/12,False,n/a,5.4
6/15,True,n/a,5.17
6/16,True,n/a,2.68
6/17,True,n/a,4.8
6/18,True,n/a,inf
6/19,False,n/a,5.43
6/20,False,n/a,2.67
6/22,False,n/a,3.91
6/23,True,n/a,4.45
6/24,True,n/a,5.08
6/25,True,n/a,3.68
6/26,True,n/a,4.9
6/27,True,n/a,2.48
6/28,True,n/a,3.46
6/29,True,n/a,2.72
7/2,False,n/a,4.63
7/3,False,n/a,4.42
7/4,False,n/a,4.57
7/5,True,n/a,4.97
7/6,True,n/a,4.45
7/7,False,n/a,1.82
7/8,False,n/a,4.67
7/9,True,n/a,3.76
7/11,True,n/a,2.96
7/15,False,n/a,3.29
7/16,True,n/a,2.17
7/17,False,n/a,2.11
7/19,False,n/a,2.57
7/20,True,n/a,2.94
7/21,True,n/a,3.51
7/22,False,n/a,4.69
7/23,True,n/a,2.87
7/24,True,n/a,4.02
7/25,True,n/a,2.73
7/27,False,n/a,3.61
7/28,False,n/a,3.57
7/30,False,n/a,3.12
7/31,True,n/a,3.49
8/1,False,n/a,3.14
8/2,True,n/a,3.48
8/3,False,n/a,2.45
8/4,True,n/a,3.49
8/5,True,n/a,5.06
8/6,True,n/a,5.63
8/7,False,n/a,3.12
8/10,True,n/a,4.37
8/11,False,n/a,3.93
8/13,False,n/a,2.24
8/14,True,n/a,4.41
8/16,False,n/a,3.51
8/17,True,n/a,4.05
8/18,True,n/a,4.42
8/19,False,n/a,4.99
8/20,True,n/a,4.92
8/21,True,n/a,3.38
8/22,True,n/a,3.87
8/25,True,n/a,4.67
8/26,True,n/a,3.28
8/27,True,n/a,2.66
8/28,True,n/a,3.98
8/29,True,n/a,4.35
8/30,True,n/a,2.22
8/31,False,n/a,4.64
9/1,True,n/a,2.28
9/3,True,n/a,4.07
9/4,True,n/a,3.11
9/5,False,n/a,3.54
9/6,True,n/a,1.68
9/7,True,n/a,2.26
9/8,False,n/a,7.2
9/10,True,n/a,2.91
9/11,True,n/a,3.61
9/14,False,n/a,4.14
9/15,False,n/a,3.19
9/16,False,n/a,3.29
9/17,True,n/a,2.75
9/19,False,n/a,4.46
9/21,True,n/a,3.7
9/22,False,n/a,1.99
9/23,False,n/a,2.84
9/26,False,n/a,4.46
9/27,True,n/a,3.01
9/28,True,n/a,4.71
10/1,True,n/a,21.69
10/2,False,n/a,4.4
10/3,True,n/a,5.03
