date,hitVal,otherInfo,opPitcherEra
4/5,False,n/a,inf
4/6,True,n/a,inf
4/7,True,n/a,inf
4/8,True,n/a,inf
4/9,True,n/a,0.0
4/10,False,n/a,4.5
4/11,True,n/a,9.0
4/20,False,n/a,9.83
5/22,False,n/a,3.33
5/23,False,n/a,3.06
5/25,False,n/a,3.86
5/26,False,n/a,5.26
5/27,True,n/a,6.1
5/28,True,n/a,4.97
5/29,True,n/a,5.58
5/30,False,n/a,7.29
6/1,True,n/a,4.84
6/2,True,n/a,5.77
6/3,True,n/a,5.68
6/4,False,n/a,4.48
6/5,True,n/a,3.29
6/6,True,n/a,4.73
6/7,False,n/a,5.86
6/8,True,n/a,2.74
6/9,True,n/a,4.78
6/10,False,n/a,3.29
6/11,True,n/a,3.2
6/12,True,n/a,3.15
6/15,True,n/a,6.05
6/16,True,n/a,3.74
6/17,True,n/a,5.15
6/18,True,n/a,2.66
6/19,True,n/a,2.41
6/21,False,n/a,3.02
6/22,False,n/a,4.53
6/23,True,n/a,4.3
6/25,True,n/a,6.5
6/26,True,n/a,13.51
6/27,False,n/a,5.43
6/29,True,n/a,4.95
6/30,True,n/a,5.22
7/1,True,n/a,6.2
7/2,True,n/a,3.88
7/4,True,n/a,3.68
7/5,False,n/a,5.11
7/6,True,n/a,3.33
7/7,False,n/a,4.97
7/9,True,n/a,3.96
7/10,False,n/a,5.98
7/16,True,n/a,3.71
7/17,True,n/a,3.81
7/18,True,n/a,5.56
7/19,True,n/a,4.57
7/20,False,n/a,5.65
7/21,True,n/a,2.45
7/23,False,n/a,4.18
7/24,True,n/a,4.37
7/25,False,n/a,5.07
7/27,False,n/a,2.55
7/28,False,n/a,3.52
7/29,True,n/a,3.03
7/30,True,n/a,inf
7/31,False,n/a,3.23
8/1,False,n/a,3.66
8/3,True,n/a,5.48
8/4,True,n/a,6.55
8/6,False,n/a,2.43
8/7,False,n/a,5.25
8/8,True,n/a,3.45
8/9,True,n/a,3.99
8/10,False,n/a,2.84
8/11,True,n/a,4.73
8/13,True,n/a,3.28
8/14,False,n/a,2.28
8/15,False,n/a,4.46
8/16,False,n/a,3.87
8/17,True,n/a,4.45
8/18,True,n/a,4.42
8/19,True,n/a,4.1
8/21,True,n/a,2.85
8/22,False,n/a,3.74
8/24,False,n/a,4.15
8/25,True,n/a,4.24
8/26,False,n/a,5.33
8/27,False,n/a,3.68
8/28,False,n/a,5.0
8/29,True,n/a,3.4
8/30,False,n/a,4.53
8/31,True,n/a,4.12
9/1,True,n/a,5.23
9/2,True,n/a,3.14
9/3,True,n/a,6.34
9/4,True,n/a,3.1
9/5,True,n/a,4.05
9/6,True,n/a,3.55
9/7,True,n/a,3.85
9/8,True,n/a,3.64
9/10,True,n/a,2.26
9/11,True,n/a,4.48
9/12,True,n/a,5.91
9/13,True,n/a,5.11
9/14,False,n/a,3.9
9/15,True,n/a,4.68
9/17,True,n/a,5.51
9/18,False,n/a,4.25
9/19,True,n/a,3.28
9/20,False,n/a,4.08
9/21,True,n/a,4.17
9/23,True,n/a,3.68
9/24,True,n/a,3.92
9/25,True,n/a,4.57
9/26,True,n/a,3.79
9/27,True,n/a,3.77
9/28,True,n/a,2.85
9/29,True,n/a,3.96
9/30,True,n/a,3.91
10/1,True,n/a,4.2
10/2,True,n/a,3.98
10/3,True,n/a,6.9
