date,hitVal,otherInfo,opPitcherEra
4/4,True,n/a,inf
4/6,True,n/a,inf
4/7,False,n/a,inf
4/9,False,n/a,inf
4/10,True,n/a,1.5
4/12,True,n/a,1.29
4/14,True,n/a,1.69
4/15,True,n/a,4.5
4/16,False,Suspended-Valid.,4.5
4/17,True,n/a,3.97
4/18,True,n/a,1.13
4/19,True,n/a,3.24
4/20,False,n/a,2.19
4/21,True,n/a,1.38
4/22,False,n/a,2.08
4/23,True,n/a,3.15
4/24,True,n/a,4.34
4/25,False,n/a,4.67
4/26,True,n/a,1.93
4/27,True,n/a,4.0
4/28,True,n/a,5.41
4/30,True,n/a,4.84
5/1,True,n/a,12.21
5/2,False,n/a,3.38
5/3,True,n/a,5.74
5/4,True,n/a,4.59
5/5,True,n/a,5.77
5/6,True,n/a,5.57
5/7,True,n/a,1.44
5/8,True,n/a,2.74
5/9,True,n/a,1.99
5/10,True,n/a,5.4
5/11,False,n/a,3.82
5/12,False,n/a,3.19
5/14,True,n/a,6.81
5/15,True,n/a,3.99
5/16,True,n/a,inf
5/17,True,n/a,1.38
5/18,True,n/a,3.71
5/21,False,n/a,4.29
5/22,True,n/a,5.24
5/23,True,n/a,1.64
5/24,False,n/a,3.35
5/25,True,n/a,3.08
5/26,False,n/a,2.37
5/27,True,n/a,4.73
5/28,True,n/a,4.53
5/29,True,n/a,3.57
5/30,True,n/a,2.91
6/1,False,n/a,3.54
6/2,True,n/a,4.91
6/3,True,n/a,1.88
6/4,True,n/a,3.18
6/5,True,n/a,3.84
6/6,True,n/a,5.28
6/7,True,n/a,3.53
6/8,False,n/a,6.08
6/9,False,n/a,5.46
6/10,True,n/a,3.54
6/11,True,n/a,3.98
6/12,True,n/a,6.07
6/13,True,n/a,3.98
6/16,True,n/a,4.45
6/17,True,n/a,4.61
6/18,False,n/a,2.98
6/19,True,n/a,6.65
6/20,True,n/a,3.1
6/22,False,n/a,4.0
6/23,True,n/a,1.15
6/24,True,n/a,4.03
6/25,True,n/a,2.91
6/26,True,n/a,inf
6/27,True,n/a,2.86
6/29,True,n/a,4.55
6/30,True,n/a,4.1
7/2,True,n/a,6.83
7/3,True,n/a,4.3
7/4,False,n/a,4.9
7/5,True,n/a,4.08
7/6,True,n/a,2.8
7/7,False,n/a,2.42
7/9,True,n/a,3.4
7/10,True,n/a,4.69
7/11,True,n/a,7.3
7/15,False,n/a,2.34
7/16,True,n/a,3.33
7/17,True,n/a,2.88
7/18,True,n/a,3.35
7/19,True,n/a,4.63
7/20,True,n/a,3.83
7/22,True,n/a,6.19
7/23,False,n/a,2.97
7/24,True,n/a,2.4
7/25,False,n/a,3.56
7/26,True,n/a,inf
7/27,True,n/a,3.2
7/28,True,n/a,5.62
7/30,True,n/a,4.44
7/31,True,n/a,4.45
8/1,True,n/a,3.74
8/2,True,n/a,3.92
8/3,False,n/a,6.04
8/4,False,n/a,5.55
8/5,True,n/a,1.46
8/6,True,n/a,4.61
8/7,True,n/a,3.19
8/8,False,n/a,4.13
8/9,False,n/a,3.96
8/10,False,n/a,3.37
8/11,False,n/a,3.44
8/13,True,n/a,3.01
8/14,True,n/a,3.37
8/15,True,n/a,3.3
8/17,True,n/a,2.85
8/18,True,n/a,6.36
8/19,True,n/a,3.99
8/20,True,n/a,3.96
8/21,True,n/a,3.43
8/22,False,n/a,3.69
8/23,True,n/a,3.92
8/25,True,n/a,3.7
8/27,True,n/a,2.97
8/28,True,n/a,3.62
8/29,True,n/a,4.76
8/31,False,n/a,4.79
9/1,True,n/a,5.1
9/2,True,n/a,5.55
9/4,True,n/a,3.65
9/7,False,n/a,2.92
9/8,True,n/a,3.47
9/11,True,n/a,2.98
9/12,True,n/a,3.47
9/13,False,n/a,3.84
9/14,False,n/a,3.9
9/15,True,n/a,4.39
9/17,True,n/a,4.12
9/18,True,n/a,3.72
9/20,False,n/a,4.68
9/21,True,n/a,5.03
9/24,True,n/a,2.81
9/25,True,n/a,4.12
9/26,True,n/a,4.31
9/27,True,n/a,4.27
9/29,True,n/a,4.74
9/30,True,n/a,3.74
