date,hitVal,otherInfo,opPitcherEra
4/5,False,n/a,inf
4/6,True,n/a,inf
4/7,False,n/a,inf
4/8,True,n/a,inf
4/9,False,n/a,inf
4/10,True,n/a,inf
4/11,True,n/a,3.86
4/12,False,n/a,7.95
4/13,True,n/a,0.0
4/14,True,n/a,3.0
4/16,False,n/a,1.8
4/17,False,n/a,9.0
4/18,False,n/a,1.64
4/19,False,n/a,11.75
4/20,False,n/a,4.91
4/21,False,n/a,2.89
4/23,True,n/a,9.0
4/24,False,n/a,8.1
4/25,True,n/a,1.29
4/26,False,n/a,4.82
4/27,True,n/a,3.28
4/28,True,n/a,11.37
4/30,True,n/a,3.8
5/1,True,n/a,5.48
5/2,True,n/a,1.75
5/4,True,n/a,3.38
5/5,False,n/a,2.06
5/6,True,n/a,2.76
5/7,False,n/a,3.19
5/8,False,n/a,7.05
5/9,False,n/a,4.02
5/11,True,n/a,5.75
5/12,True,n/a,7.37
5/13,False,n/a,3.26
5/14,True,n/a,3.18
5/15,True,n/a,3.13
5/16,False,n/a,2.49
5/17,True,n/a,4.09
5/18,True,n/a,5.7
5/19,True,n/a,5.47
5/20,False,n/a,2.88
5/21,True,n/a,1.54
5/22,True,n/a,2.94
5/23,False,n/a,3.28
5/25,True,n/a,3.43
5/26,False,n/a,4.43
5/28,True,n/a,6.09
5/29,True,n/a,3.36
5/30,True,n/a,4.4
5/31,True,n/a,3.17
6/1,True,n/a,4.28
6/2,True,n/a,4.16
6/3,False,n/a,4.0
6/4,False,n/a,5.09
6/5,True,n/a,3.44
6/6,True,n/a,5.16
6/7,True,n/a,5.82
6/8,False,n/a,3.62
6/9,False,n/a,3.62
6/10,True,n/a,1.0
6/11,False,n/a,5.04
6/12,True,n/a,3.22
6/13,True,n/a,2.72
6/14,True,n/a,2.3
6/15,False,n/a,20.3
6/16,True,n/a,1.49
6/18,False,n/a,4.5
6/19,True,n/a,3.75
6/20,True,n/a,5.45
6/23,False,n/a,4.92
6/24,True,n/a,3.42
6/25,True,n/a,4.67
6/26,False,n/a,4.8
6/27,True,n/a,5.76
6/29,True,n/a,3.17
6/30,True,n/a,5.16
7/1,False,n/a,3.49
7/2,True,n/a,5.26
7/3,True,n/a,4.02
7/4,True,n/a,4.36
7/5,True,n/a,5.46
7/6,False,n/a,3.94
7/7,False,n/a,5.64
7/8,True,n/a,2.82
7/9,True,n/a,3.83
7/10,True,n/a,4.81
7/11,True,n/a,3.19
7/15,False,n/a,3.96
7/16,True,n/a,3.17
7/17,False,n/a,4.77
7/18,False,n/a,3.76
7/19,True,n/a,11.25
7/20,False,n/a,3.59
7/21,True,n/a,4.1
7/22,True,n/a,4.65
7/23,False,n/a,7.29
7/24,True,n/a,2.81
7/25,True,n/a,4.29
7/26,False,n/a,3.37
7/27,True,n/a,3.87
7/28,True,n/a,3.96
7/29,True,n/a,4.75
7/30,True,n/a,5.0
7/31,False,n/a,4.76
8/1,True,n/a,3.35
8/3,True,n/a,3.4
8/4,True,n/a,3.11
8/5,True,n/a,3.31
8/6,True,n/a,3.97
8/7,True,n/a,4.75
8/8,True,n/a,5.33
8/9,True,n/a,3.86
8/10,True,n/a,3.14
8/11,False,n/a,3.75
8/13,False,n/a,3.9
8/14,True,n/a,4.09
8/15,False,n/a,5.47
8/16,False,n/a,5.84
8/17,True,n/a,5.74
8/18,False,n/a,3.88
8/20,True,n/a,4.7
8/21,True,n/a,4.89
8/22,True,n/a,3.12
8/23,True,n/a,4.62
8/25,False,n/a,6.67
8/27,True,n/a,4.63
8/28,False,n/a,6.49
8/29,True,n/a,3.56
8/30,False,n/a,4.13
8/31,True,n/a,4.02
9/1,True,n/a,5.08
9/2,True,n/a,4.08
9/3,False,n/a,4.19
9/4,True,n/a,4.61
9/5,True,n/a,3.08
9/6,False,n/a,3.17
9/7,True,n/a,3.23
9/8,True,n/a,3.12
9/10,True,n/a,3.13
9/11,True,n/a,4.02
9/12,True,n/a,3.39
9/13,True,n/a,3.26
9/14,True,n/a,4.7
9/15,True,n/a,2.54
9/17,True,n/a,3.25
9/18,False,n/a,3.87
9/19,True,n/a,3.97
9/21,True,n/a,6.16
9/22,False,n/a,4.5
9/23,True,n/a,4.09
9/24,True,n/a,4.48
9/25,True,n/a,4.01
9/26,True,n/a,4.96
9/27,True,n/a,3.16
9/28,False,n/a,5.45
9/29,True,n/a,5.42
9/30,False,n/a,3.35
10/1,False,n/a,3.08
10/2,False,n/a,2.91
10/3,True,n/a,3.5
