date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/7,False,n/a,inf
4/8,False,n/a,inf
4/9,False,n/a,inf
4/11,True,n/a,5.41
4/12,False,n/a,4.5
4/14,False,n/a,6.0
4/16,False,n/a,6.36
4/18,True,n/a,13.5
4/19,True,n/a,4.09
4/20,True,n/a,3.6
4/21,True,n/a,3.5
4/23,False,n/a,0.9
4/24,False,n/a,1.86
4/25,False,n/a,3.86
4/26,False,n/a,2.89
4/27,True,n/a,5.24
4/28,False,n/a,4.76
4/30,True,n/a,5.73
5/1,True,n/a,7.06
5/2,True,n/a,7.16
5/3,True,n/a,inf
5/4,False,n/a,5.28
5/5,False,n/a,7.61
5/7,False,n/a,6.09
5/8,False,n/a,6.17
5/9,True,n/a,4.06
5/11,False,n/a,3.6
5/12,False,n/a,4.59
5/14,False,n/a,6.03
5/15,False,n/a,3.1
5/20,True,n/a,4.36
5/22,True,n/a,6.51
5/23,False,n/a,3.4
5/27,True,n/a,3.32
5/28,False,n/a,4.0
5/30,False,n/a,3.31
6/2,True,n/a,3.0
6/4,True,n/a,4.46
6/6,False,n/a,4.07
6/7,False,n/a,1.87
6/8,False,n/a,3.64
6/11,True,n/a,4.27
6/12,True,n/a,4.83
6/13,False,n/a,5.38
6/14,True,n/a,6.36
6/15,True,n/a,6.62
6/16,False,n/a,3.05
6/18,True,n/a,4.81
6/19,True,n/a,4.93
6/20,False,n/a,3.23
6/22,False,n/a,3.58
6/23,False,n/a,3.08
6/26,False,n/a,6.15
6/27,False,n/a,3.97
6/28,True,n/a,4.65
6/29,True,n/a,4.67
6/30,True,n/a,inf
7/1,False,n/a,4.92
7/2,False,n/a,5.17
7/3,False,n/a,4.12
7/8,False,n/a,2.27
7/15,False,n/a,2.97
7/18,True,n/a,4.04
7/19,False,n/a,4.44
7/20,True,n/a,4.88
7/21,False,n/a,6.21
7/22,False,n/a,3.63
7/24,True,n/a,3.13
7/25,True,n/a,3.7
7/27,True,n/a,3.54
7/28,False,n/a,2.79
7/30,True,n/a,4.72
7/31,True,n/a,8.58
8/1,True,n/a,5.09
8/2,True,n/a,3.1
8/3,True,n/a,5.63
8/4,True,n/a,0.0
8/6,True,n/a,4.28
8/7,False,n/a,1.96
8/9,False,n/a,3.43
8/10,True,n/a,3.24
8/11,True,n/a,3.83
8/13,False,n/a,8.0
8/14,True,n/a,5.46
8/15,True,n/a,3.66
8/17,True,n/a,4.78
8/18,False,n/a,4.86
8/20,True,n/a,3.27
8/21,True,n/a,3.62
8/22,True,n/a,3.56
8/24,False,n/a,4.92
8/27,False,n/a,5.22
8/28,True,n/a,3.36
8/29,False,n/a,5.23
8/30,False,n/a,3.68
8/31,True,n/a,3.87
9/3,True,n/a,3.82
9/4,False,n/a,3.41
9/5,True,n/a,4.92
9/6,False,n/a,3.86
9/8,False,n/a,4.63
9/9,True,n/a,4.1
9/10,True,n/a,5.33
9/11,True,n/a,3.58
9/12,True,n/a,2.41
9/13,True,n/a,18.92
9/14,True,n/a,4.61
9/15,False,n/a,3.88
9/16,False,n/a,1.54
9/17,True,n/a,2.43
9/18,False,n/a,0.0
9/19,False,n/a,3.49
9/20,False,n/a,5.11
9/21,True,n/a,5.36
9/22,False,n/a,8.61
9/24,True,n/a,3.9
9/25,True,n/a,5.02
9/26,True,n/a,6.0
9/27,False,n/a,8.12
9/28,False,n/a,5.3
9/30,True,n/a,4.64
10/1,False,n/a,4.24
10/3,True,n/a,6.22
