date,hitVal,otherInfo,opPitcherEra
4/5,True,n/a,inf
4/7,False,n/a,inf
4/8,False,n/a,inf
4/10,False,n/a,inf
4/11,True,n/a,0.0
4/12,True,n/a,6.0
4/14,True,n/a,3.86
4/15,True,n/a,6.0
4/17,False,n/a,2.25
4/18,False,n/a,5.25
4/20,True,n/a,17.49
4/21,True,n/a,1.13
4/22,True,n/a,7.5
4/23,False,n/a,10.38
4/25,True,n/a,0.86
4/26,False,n/a,7.31
4/27,True,n/a,3.6
4/29,True,n/a,1.69
4/30,False,n/a,3.81
5/2,True,n/a,5.61
5/4,True,n/a,0.87
5/5,False,n/a,2.25
5/8,True,n/a,5.41
5/9,False,n/a,4.42
5/10,False,n/a,8.14
5/11,True,n/a,4.2
5/12,True,n/a,3.07
5/14,True,n/a,3.48
5/15,True,n/a,4.3
5/17,False,n/a,3.14
5/18,True,n/a,3.88
5/19,True,n/a,6.02
5/20,False,n/a,3.09
5/21,True,n/a,3.0
5/22,True,n/a,9.68
5/25,True,n/a,3.28
5/26,True,n/a,4.56
5/31,False,n/a,5.63
6/1,True,n/a,3.82
6/2,False,n/a,5.04
6/3,False,n/a,3.55
6/5,True,n/a,3.74
6/6,True,n/a,2.54
6/7,True,n/a,4.83
6/8,True,n/a,5.33
6/9,True,n/a,3.47
6/11,True,n/a,3.1
6/12,True,n/a,5.22
6/13,False,n/a,3.46
6/15,True,n/a,2.23
6/16,True,n/a,4.91
6/17,True,n/a,4.55
6/18,False,n/a,5.4
6/19,True,n/a,3.94
6/22,True,n/a,3.18
6/23,True,n/a,4.72
6/24,False,n/a,5.21
6/25,True,n/a,inf
6/26,False,n/a,5.67
6/27,True,n/a,3.94
6/28,True,n/a,1.78
6/29,False,n/a,5.43
6/30,True,n/a,3.04
7/2,False,n/a,1.83
7/3,True,n/a,3.18
7/4,True,n/a,4.84
7/5,True,n/a,2.42
7/7,True,n/a,4.13
7/9,True,n/a,2.62
7/10,True,n/a,3.39
7/11,False,n/a,3.15
7/15,True,n/a,4.14
7/16,True,n/a,4.57
7/18,True,n/a,4.65
7/20,False,n/a,3.3
7/21,True,n/a,3.45
7/23,True,n/a,2.12
7/24,True,n/a,3.62
7/25,True,n/a,4.78
7/27,False,n/a,4.51
7/28,True,n/a,3.12
7/30,True,n/a,3.18
7/31,True,n/a,4.21
8/1,False,n/a,8.26
8/3,True,n/a,2.32
8/4,True,n/a,4.11
8/5,False,n/a,3.1
8/6,True,n/a,3.38
8/7,False,n/a,2.98
8/9,True,n/a,5.65
8/10,False,n/a,5.25
8/13,False,n/a,3.65
8/14,False,n/a,3.42
8/15,True,n/a,3.32
8/16,True,n/a,3.78
8/18,False,n/a,3.08
8/19,False,n/a,5.23
8/20,False,n/a,3.62
8/22,False,n/a,4.44
8/23,True,n/a,4.36
8/25,True,n/a,4.53
8/27,False,n/a,4.82
8/28,True,n/a,4.22
8/29,True,n/a,2.36
8/30,True,n/a,3.5
9/1,False,n/a,3.61
9/2,True,n/a,3.02
9/4,True,n/a,2.28
9/5,False,n/a,3.98
9/7,False,n/a,5.03
9/8,False,n/a,5.24
9/9,False,n/a,2.34
9/10,True,n/a,2.9
9/11,True,n/a,3.89
9/12,True,n/a,7.13
9/13,False,n/a,7.2
9/14,True,n/a,3.82
9/17,False,n/a,3.85
9/18,True,n/a,0.69
9/19,True,n/a,2.8
9/20,True,n/a,3.01
9/21,True,n/a,2.49
9/22,False,n/a,2.02
9/24,True,n/a,6.75
9/25,True,n/a,6.32
9/26,True,n/a,3.75
9/27,True,n/a,4.0
9/28,False,n/a,3.6
10/1,True,n/a,4.77
10/2,False,n/a,2.25
10/3,True,n/a,3.09
