date,hitVal,otherInfo,opPitcherEra
4/8,True,n/a,inf
4/9,True,n/a,inf
4/13,True,n/a,9.0
4/14,False,n/a,6.75
4/15,False,n/a,0.0
4/17,True,n/a,1.5
4/18,True,n/a,1.2
4/19,True,n/a,2.92
4/20,True,n/a,9.45
4/21,False,n/a,0.69
4/22,False,n/a,1.93
4/23,True,n/a,4.91
4/24,False,n/a,6.06
4/25,False,n/a,2.81
4/27,True,n/a,2.18
4/28,True,n/a,inf
4/30,True,n/a,7.72
5/1,False,n/a,1.8
5/3,True,n/a,3.25
5/4,True,n/a,6.37
5/5,True,n/a,5.33
5/7,False,n/a,2.48
5/8,True,n/a,5.55
5/9,True,n/a,1.7
5/10,True,n/a,4.67
5/11,True,n/a,3.54
5/12,True,n/a,5.63
5/13,False,n/a,3.35
5/14,True,n/a,4.08
5/15,True,n/a,4.54
5/16,True,n/a,3.66
5/18,True,n/a,2.35
5/19,True,n/a,1.46
5/20,False,n/a,3.9
5/21,True,n/a,8.02
5/22,True,n/a,2.25
5/23,True,n/a,3.43
5/25,True,n/a,4.3
5/26,True,n/a,5.06
5/27,True,n/a,3.93
5/28,False,n/a,3.2
5/29,True,n/a,3.54
5/30,True,n/a,4.53
5/31,True,n/a,4.03
6/1,False,n/a,3.71
6/2,True,n/a,3.0
6/4,False,n/a,2.89
6/5,True,n/a,4.3
6/6,True,n/a,4.57
6/8,True,n/a,2.87
6/10,False,n/a,3.26
6/11,True,n/a,3.71
6/12,True,n/a,5.11
6/13,True,n/a,4.64
6/15,True,n/a,4.74
6/16,True,n/a,3.59
6/17,True,n/a,4.62
6/18,True,n/a,5.43
6/19,True,n/a,3.11
6/20,True,n/a,4.0
6/22,True,n/a,3.54
6/23,False,n/a,4.06
6/29,True,n/a,4.89
7/2,True,n/a,4.34
7/3,False,n/a,2.27
7/4,True,n/a,5.13
7/5,True,n/a,1.93
7/6,False,n/a,inf
7/7,True,n/a,4.25
7/9,True,n/a,4.19
7/10,True,n/a,2.44
7/11,True,n/a,4.4
7/15,False,n/a,3.16
7/17,False,n/a,3.34
7/18,True,n/a,3.47
7/19,True,n/a,4.12
7/20,True,n/a,3.45
7/21,True,n/a,4.6
7/22,False,n/a,3.74
7/23,True,n/a,3.65
7/24,True,n/a,3.61
7/27,True,n/a,1.94
7/28,True,n/a,2.21
7/29,True,n/a,5.24
7/30,True,n/a,4.1
7/31,True,n/a,2.73
8/1,True,n/a,inf
8/2,True,n/a,2.4
8/3,True,n/a,4.58
8/4,False,n/a,3.66
8/6,True,n/a,5.86
8/7,True,n/a,3.56
8/8,True,n/a,2.17
8/10,False,n/a,2.61
8/11,True,n/a,4.67
8/12,True,n/a,4.38
8/13,True,n/a,3.45
8/14,True,n/a,2.34
8/15,False,n/a,4.6
8/16,False,n/a,4.18
8/18,True,n/a,3.13
8/19,False,n/a,5.42
8/20,True,n/a,4.57
8/21,True,n/a,2.55
8/22,False,n/a,5.33
8/24,True,n/a,2.27
8/25,False,n/a,3.78
8/26,True,n/a,3.16
8/27,False,n/a,2.42
8/28,False,n/a,3.08
8/29,True,n/a,5.03
8/30,True,n/a,4.36
9/3,True,n/a,4.5
9/4,False,n/a,4.37
9/5,True,n/a,3.71
9/6,True,n/a,4.5
9/7,False,n/a,inf
9/8,True,n/a,3.81
9/10,False,n/a,2.36
9/11,True,n/a,4.89
9/12,True,n/a,2.37
9/13,False,n/a,4.17
9/14,True,n/a,5.47
9/15,True,n/a,5.37
9/16,True,n/a,9.06
9/18,True,n/a,2.62
9/19,False,n/a,4.22
9/21,False,n/a,1.74
9/22,True,n/a,3.88
9/24,True,n/a,5.04
9/25,True,n/a,4.78
9/26,False,n/a,2.93
9/29,True,n/a,3.57
9/30,True,n/a,5.14
10/1,True,n/a,5.76
10/2,True,n/a,6.43
10/3,True,n/a,3.73
