date,hitVal,otherInfo,opPitcherEra
3/31,False,n/a,inf
4/1,True,n/a,inf
4/2,True,n/a,inf
4/4,True,n/a,inf
4/5,True,n/a,1.29
4/6,True,n/a,11.59
4/8,False,n/a,1.8
4/9,False,n/a,0.0
4/10,True,n/a,6.0
4/12,True,n/a,3.65
4/13,True,n/a,9.91
4/14,False,n/a,1.98
4/15,True,n/a,3.66
4/16,True,n/a,5.12
4/17,False,n/a,1.46
4/18,True,n/a,6.32
4/19,True,n/a,6.19
4/20,True,n/a,1.69
4/21,True,n/a,3.94
4/22,True,n/a,7.17
4/23,True,n/a,5.17
4/24,True,n/a,5.96
4/25,False,n/a,4.44
4/26,True,n/a,inf
4/27,True,n/a,inf
4/29,False,n/a,3.33
4/30,False,n/a,3.07
5/1,True,n/a,4.02
5/2,False,n/a,3.03
5/3,False,n/a,3.67
5/4,False,n/a,2.63
5/6,True,n/a,3.82
5/7,False,n/a,3.76
5/8,True,n/a,3.83
5/9,True,n/a,3.26
5/10,True,n/a,2.2
5/11,False,n/a,2.6
5/13,True,n/a,7.38
5/14,True,n/a,6.17
5/15,True,n/a,1.59
5/16,True,n/a,8.0
5/17,False,n/a,inf
5/18,False,n/a,5.47
5/19,False,n/a,4.07
5/20,False,n/a,2.7
5/21,False,n/a,4.59
7/9,True,n/a,3.27
7/10,False,n/a,4.79
7/11,True,n/a,inf
7/12,False,n/a,3.48
7/13,True,n/a,4.28
7/17,False,n/a,4.6
7/18,True,n/a,4.13
7/19,False,n/a,3.23
7/20,False,n/a,4.35
7/21,False,n/a,5.56
7/23,True,n/a,5.47
7/24,False,n/a,3.67
7/25,True,n/a,2.21
7/26,False,n/a,5.25
7/27,True,n/a,4.85
7/29,True,n/a,5.28
7/30,True,n/a,4.96
7/31,True,n/a,5.17
8/1,False,n/a,2.6
8/2,True,n/a,3.19
8/3,False,n/a,3.03
8/5,True,n/a,7.89
8/6,False,n/a,5.34
8/9,False,n/a,3.78
8/10,True,n/a,3.4
8/11,True,n/a,inf
8/12,True,n/a,3.65
8/13,False,n/a,2.7
8/14,True,n/a,2.64
8/15,True,n/a,3.83
8/16,True,n/a,4.5
8/17,True,n/a,5.62
8/18,True,n/a,2.96
8/19,True,n/a,1.69
8/20,True,n/a,3.52
8/22,False,n/a,4.42
8/23,False,n/a,5.75
8/24,True,n/a,3.3
8/25,False,n/a,3.7
8/26,False,n/a,2.61
8/27,True,n/a,4.24
8/28,True,n/a,4.85
8/29,True,n/a,4.67
8/30,False,n/a,2.29
8/31,True,n/a,4.36
9/1,True,n/a,3.68
9/3,False,n/a,4.31
9/4,True,n/a,6.08
9/5,False,n/a,2.52
9/6,True,n/a,4.47
9/7,True,n/a,6.05
9/8,False,n/a,4.3
9/9,True,n/a,4.44
9/10,False,n/a,4.74
9/11,True,n/a,4.4
9/12,False,n/a,4.17
9/13,True,n/a,5.38
9/14,False,n/a,2.08
9/16,False,n/a,3.84
9/17,False,n/a,3.84
9/18,False,n/a,4.17
9/19,False,n/a,2.42
9/20,True,n/a,4.49
9/21,True,n/a,inf
9/22,False,n/a,3.89
9/23,True,n/a,4.19
9/24,True,n/a,2.92
9/26,True,n/a,5.13
9/27,True,n/a,4.05
