date,hitVal,otherInfo
3/25,True,n/a
3/26,True,n/a
4/1,True,n/a
4/4,False,n/a
4/5,True,n/a
4/6,False,n/a
4/8,True,n/a
4/9,True,n/a
4/10,True,n/a
4/11,False,n/a
4/12,False,n/a
4/13,False,n/a
4/14,True,n/a
4/15,True,n/a
4/16,True,n/a
4/17,True,n/a
4/19,True,n/a
4/20,True,n/a
4/21,True,n/a
4/22,True,n/a
4/23,True,n/a
4/24,False,n/a
4/25,False,n/a
4/26,False,n/a
4/27,True,n/a
4/29,False,n/a
4/30,False,n/a
5/2,True,n/a
5/3,True,n/a
5/4,True,n/a
5/5,True,n/a
5/6,True,n/a
5/7,True,n/a
5/8,False,n/a
5/9,True,n/a
5/17,True,n/a
5/18,True,n/a
5/19,False,n/a
5/20,False,n/a
5/21,True,n/a
5/22,True,n/a
5/23,True,n/a
5/25,True,n/a
5/26,False,n/a
5/27,False,n/a
5/28,False,n/a
5/31,False,n/a
6/1,True,n/a
6/2,True,n/a
6/3,False,n/a
6/4,False,n/a
6/5,True,n/a
6/6,False,n/a
6/7,True,n/a
6/8,True,n/a
6/11,True,n/a
6/12,True,n/a
6/13,False,n/a
6/15,True,n/a
6/16,True,n/a
6/17,True,n/a
6/18,True,n/a
6/20,True,n/a
6/22,False,n/a
6/23,False,n/a
6/24,True,n/a
6/25,True,n/a
6/27,True,n/a
6/28,False,n/a
6/29,True,n/a
6/30,False,n/a
7/2,True,n/a
7/3,False,n/a
7/4,False,n/a
7/6,True,n/a
7/7,True,n/a
7/8,True,n/a
7/9,True,n/a
7/11,True,n/a
