date,hitVal,otherInfo
3/31,True,n/a
4/1,True,n/a
4/2,False,n/a
4/3,False,n/a
4/4,True,n/a
4/5,True,n/a
4/6,False,n/a
4/7,True,n/a
4/8,True,n/a
4/9,True,n/a
4/11,True,n/a
4/12,False,n/a
4/13,True,n/a
4/14,True,n/a
4/15,True,n/a
4/16,False,n/a
4/18,False,n/a
4/19,True,n/a
4/20,True,n/a
4/22,False,n/a
4/23,True,n/a
4/24,False,n/a
4/25,True,n/a
4/26,True,n/a
4/27,True,n/a
4/28,False,n/a
4/29,False,n/a
4/30,False,n/a
5/1,False,n/a
5/2,False,n/a
5/4,True,n/a
5/5,True,n/a
5/6,True,n/a
5/7,True,n/a
5/9,False,n/a
5/10,True,n/a
5/11,True,n/a
5/12,True,n/a
5/13,False,n/a
5/14,True,n/a
5/15,True,n/a
5/16,False,n/a
5/17,True,n/a
5/18,False,n/a
5/20,True,n/a
5/21,True,n/a
5/22,False,n/a
5/23,False,n/a
5/24,True,n/a
5/26,True,n/a
5/27,False,n/a
5/30,False,n/a
5/31,False,n/a
6/1,True,n/a
6/6,True,n/a
6/7,False,n/a
6/8,True,n/a
6/9,True,n/a
6/10,True,n/a
6/11,True,n/a
6/13,True,n/a
6/14,True,n/a
6/15,True,n/a
6/16,True,n/a
6/17,True,n/a
6/18,True,n/a
6/20,True,n/a
6/21,True,n/a
6/22,True,n/a
6/23,True,n/a
6/24,True,n/a
6/27,True,n/a
6/28,False,n/a
6/29,True,n/a
6/30,False,n/a
7/1,True,n/a
7/2,True,n/a
7/4,True,n/a
7/5,True,n/a
7/6,False,n/a
7/7,True,n/a
7/8,True,n/a
7/9,True,n/a
7/10,False,n/a
7/11,False,n/a
7/12,True,n/a
7/13,True,n/a
7/18,True,n/a
7/19,True,n/a
7/20,True,n/a
7/21,True,n/a
7/22,False,n/a
7/23,True,n/a
7/25,True,n/a
7/26,False,n/a
7/27,True,n/a
7/28,True,n/a
7/29,False,n/a
7/30,True,n/a
7/31,True,n/a
8/1,True,n/a
8/2,False,n/a
8/4,True,n/a
8/5,True,n/a
8/6,True,n/a
8/8,True,n/a
8/9,True,n/a
8/10,True,n/a
8/12,True,n/a
8/13,True,n/a
8/15,False,n/a
8/16,False,n/a
8/17,False,n/a
8/18,True,n/a
8/19,True,n/a
8/20,False,n/a
8/21,True,n/a
8/22,False,n/a
8/23,True,n/a
8/24,True,n/a
8/27,True,n/a
8/28,True,n/a
8/29,False,n/a
8/30,True,n/a
9/2,True,n/a
9/3,True,n/a
9/4,True,n/a
9/5,True,n/a
9/6,True,n/a
9/7,True,n/a
9/8,True,n/a
9/9,True,n/a
9/10,True,n/a
9/11,True,n/a
9/12,False,n/a
9/20,True,n/a
9/21,True,n/a
9/22,True,n/a
9/23,False,n/a
9/24,True,n/a
9/25,True,n/a
9/26,True,n/a
9/27,False,n/a
